# timestamp tx ty tz qx qy qz qw
1645868413.31307793 -0.00184085 0.00583961 -0.00568467 0.00000226 -0.00018719 -0.00001413 0.99999998
1645868422.78883195 1.01468181 0.01082456 -0.12886689 0.00531323 -0.00186844 0.06356924 0.99796154
1645868426.11511588 1.99961409 0.19438451 -0.15371929 0.00691539 -0.00121386 0.11120247 0.99377297
1645868429.61371398 2.96526914 0.46263781 -0.17508800 0.00662383 -0.00033324 0.14124983 0.98995177
1645868432.45004702 3.93761020 0.79808657 -0.21885244 0.00638126 -0.00047677 0.15058821 0.98857587
1645868435.28437495 4.87712549 1.16361690 -0.24751071 0.00645859 -0.00075648 0.15834688 0.98736213
1645868438.02540207 5.82262960 1.52385773 -0.25314154 0.00448039 -0.00066074 0.16952701 0.98551514
1645868440.85812497 6.72153240 2.01184895 -0.26775840 0.00274291 -0.00102808 0.17865218 0.98390793
1645868443.62264204 7.64306501 2.40867232 -0.27797806 0.00380482 -0.00031277 0.18783277 0.98219360
1645868446.12455797 8.55244600 2.87895428 -0.30008886 0.00392306 0.00038994 0.17806928 0.98401006
1645868448.28628707 9.53067404 3.16725415 -0.32756405 0.00370537 0.00067871 0.16757554 0.98585204
1645868450.52598000 10.48668487 3.48999222 -0.34066593 0.00217406 0.00076209 0.17725363 0.98416251
1645868452.96858096 11.44083249 3.83908473 -0.33440536 0.00367791 0.00243294 0.21854797 0.97581624
1645868455.80464196 12.32273607 4.32092703 -0.37612744 0.00530360 0.00351916 0.25482485 0.96696628
1645868458.30767989 13.21633516 4.83261975 -0.44539476 0.00538254 0.00410276 0.28258013 0.95921982
1645868460.80854797 14.06706146 5.37991451 -0.49905496 0.00231377 0.00393563 0.22504127 0.97433854
1645868463.80548811 14.98317224 5.83346802 -0.61303468 0.00015903 0.00225737 0.17495446 0.98457393
1645868466.19311500 15.94367485 6.17921901 -0.67273462 -0.00524594 0.00109174 0.11467015 0.99338917
1645868468.53065801 16.93531455 6.43954702 -0.72626619 -0.00555092 0.00125055 0.12404093 0.99226079
1645868471.29403806 17.87018588 6.85954487 -0.71371688 -0.00606854 0.00136747 0.11136098 0.99376055
1645868473.35735297 18.80300609 7.25083267 -0.73132582 -0.00775317 -0.00093443 0.02001625 0.99976916
1645868475.45322895 19.79960304 7.33258080 -0.75106732 -0.00835672 -0.00143132 -0.01679889 0.99982294
1645868477.94403291 20.84093266 7.33030772 -0.79156553 -0.00991952 -0.00182618 -0.01394711 0.99985186
1645868479.95033503 21.85519100 7.38685666 -0.79770932 -0.00878905 -0.00167893 -0.01814762 0.99979528
1645868481.62635994 22.86226895 7.39887797 -0.87294611 -0.00896761 -0.00245652 -0.04409064 0.99898427
1645868483.12108898 23.87699613 7.32735420 -0.93819279 -0.00927711 -0.00209236 -0.04363941 0.99900208
1645868484.44757700 24.89311580 7.38595553 -1.01648365 -0.00875934 -0.00234036 -0.03121589 0.99947154
1645868486.02034307 25.90214412 7.34193324 -1.12704888 -0.00822366 -0.00306793 -0.04093284 0.99912335
1645868487.68802691 26.94395713 7.32881769 -1.14114935 -0.00981829 -0.00254829 -0.01350064 0.99985741
1645868489.28462005 27.96764828 7.33614712 -1.17906135 -0.00984449 -0.00291395 -0.02751248 0.99956874
1645868491.18972611 28.99513651 7.33854235 -1.17791888 -0.01044945 -0.00210426 -0.02669797 0.99958671
1645868492.95716310 30.04607879 7.30804011 -1.21341077 -0.00926190 -0.00239546 -0.04300696 0.99902897
1645868494.68843293 31.05730220 7.24728132 -1.24430184 -0.00730559 -0.00229578 -0.02497105 0.99965884
1645868496.62249708 32.08976887 7.19059678 -1.27697940 -0.00728680 -0.00209390 -0.01975443 0.99977612
1645868498.46633601 33.12977610 7.16332843 -1.26388948 -0.00494794 0.00040528 0.00975599 0.99994009
1645868499.84819698 34.13231942 7.18234518 -1.29432739 -0.00285044 0.00119929 0.00719740 0.99996932
1645868501.62267709 35.13917561 7.23090036 -1.28679230 -0.00426436 0.00084270 -0.00951973 0.99994524
1645868503.35415602 36.14075308 7.17541699 -1.34852167 -0.00481104 0.00081221 -0.00940382 0.99994388
1645868505.02112508 37.14305714 7.18701284 -1.43391321 -0.00693997 -0.00026100 -0.02501222 0.99966302
1645868506.85339689 38.17134802 7.16418105 -1.37923545 -0.00715317 0.00085360 -0.01667093 0.99983508
1645868508.45195889 39.19519709 7.16836738 -1.42140419 -0.00812718 0.00040299 -0.02691531 0.99960460
1645868509.85146809 40.23279575 7.17485674 -1.49671957 -0.00759666 0.00033545 -0.02100337 0.99975049
1645868511.18365407 41.23786004 7.20104788 -1.57180393 -0.00570179 0.00001458 -0.02384287 0.99969946
1645868512.51752806 42.24223934 7.11723335 -1.62515123 -0.01033058 -0.00021748 -0.05493898 0.99843625
1645868513.94879293 43.31465140 7.13500757 -1.69492993 -0.00791555 -0.00004526 -0.03205624 0.99945472
1645868515.28447795 44.35200441 7.04573460 -1.72323764 -0.00875640 -0.00083779 -0.06341689 0.99794836
1645868516.51905107 45.39906010 6.96143502 -1.74119297 -0.00933594 -0.00140722 -0.09652275 0.99528600
1645868517.78729510 46.42048429 6.76782471 -1.79310702 -0.01162734 -0.00222750 -0.13356591 0.99096922
1645868519.02091694 47.44846657 6.53956973 -1.81288285 -0.01019468 -0.00191703 -0.14163030 0.98986527
1645868520.45549011 48.43106032 6.26264278 -1.86279876 -0.00823064 -0.00185143 -0.14162336 0.98988467
1645868521.95082092 49.44139884 6.11428814 -1.90326539 -0.01038922 -0.00040806 -0.13176547 0.99122639
1645868523.51828599 50.43577752 5.87083599 -1.98414847 -0.00778570 -0.00112130 -0.09073059 0.99584441
1645868525.10845399 51.47890906 5.68739987 -2.03954552 -0.00573635 -0.00022729 -0.06757602 0.99769761
1645868526.34728098 52.48012606 5.57782952 -2.10230256 -0.00759866 -0.00130664 -0.08385306 0.99644830
1645868527.68175292 53.50125974 5.38132692 -2.13854631 -0.00782332 -0.00111500 -0.09076193 0.99584126
1645868529.10583997 54.50469813 5.17171677 -2.17564427 -0.00539559 -0.00105117 -0.05553786 0.99844145
1645868530.84990597 55.52437041 5.03043745 -2.21774024 -0.00142486 -0.00304272 -0.03767925 0.99928424
1645868532.61467791 56.58807230 5.10548304 -2.26098754 -0.00419044 -0.00251034 -0.05037978 0.99871819
1645868533.93822908 57.62968253 4.96794490 -2.30239380 -0.00329207 -0.00285788 -0.04607250 0.99892859
1645868535.17951107 58.62685588 4.84889893 -2.29797937 -0.00330229 -0.00198997 -0.02832703 0.99959127
1645868536.43539500 59.64192489 4.82084661 -2.31572686 -0.00093491 -0.00203659 -0.02374062 0.99971564
