# timestamp tx ty tz qx qy qz qw
1654231600.03774309 0.00241754 0.00790446 0.04197783 0.00039084 0.00167222 -0.00009937 0.99999852
1654231609.86699891 2.04230371 0.05693801 -0.04090159 -0.00175719 0.00049661 -0.00811465 0.99996541
1654231610.81143188 4.19505540 0.04331285 -0.16779210 -0.00106402 -0.00016669 -0.02327378 0.99972855
1654231611.53800893 6.35519502 -0.03849991 -0.28556059 -0.00210762 -0.00183280 -0.04489173 0.99898795
1654231612.20714808 8.57886812 -0.24492139 -0.33069773 -0.00189936 -0.00127739 -0.06920716 0.99759968
1654231612.80742502 10.70496146 -0.54301152 -0.35697318 -0.00488710 -0.00119074 -0.09369617 0.99558813
1654231613.37388206 12.67422582 -0.89984714 -0.39829747 -0.00677409 -0.00119013 -0.11470230 0.99337610
1654231613.97090793 14.76625261 -1.34279742 -0.51244179 -0.00687144 -0.00169229 -0.12552445 0.99206529
1654231614.53231192 16.81915277 -1.84873540 -0.58360430 -0.00791268 -0.00178692 -0.13440399 0.99089342
1654231615.13427591 18.96258534 -2.40587802 -0.62781719 -0.00919691 -0.00155979 -0.14368767 0.98957912
1654231615.69940710 20.93795440 -2.97280678 -0.70281499 -0.00897888 -0.00141906 -0.14316902 0.98965650
1654231616.29279304 22.91245923 -3.52028319 -0.79325295 -0.00885316 -0.00133986 -0.13510764 0.99079047
1654231616.95941496 25.10929629 -4.09156363 -0.88855645 -0.00727956 -0.00151434 -0.12476092 0.99215897
1654231617.62977910 27.30066444 -4.58453575 -0.88195961 -0.00104151 -0.00188820 -0.11273840 0.99362236
1654231618.29273009 29.46665995 -5.02464777 -0.90410342 -0.00415510 -0.00051503 -0.09746533 0.99523011
1654231618.95467210 31.62585119 -5.37794404 -0.92918654 -0.00289986 0.00080122 -0.06533895 0.99785859
1654231619.62785411 33.89362748 -5.60027787 -1.03015904 -0.00175513 0.00226884 -0.01610656 0.99986617
1654231620.29527807 36.18409200 -5.56790719 -1.15307080 0.00232678 0.00346327 0.04761760 0.99885692
1654231620.86262798 38.23597455 -5.29745175 -1.22918599 0.00633751 0.00459834 0.11424995 0.99342118
1654231621.46052694 40.34373253 -4.69426984 -1.34047025 0.00853178 0.00591324 0.17017510 0.98535916
1654231622.02765489 42.32967156 -3.89205370 -1.46215001 0.01133145 0.00698244 0.22906948 0.97331907
1654231622.62398911 44.33540339 -2.79344638 -1.54065684 0.01382646 0.00895595 0.28185780 0.95931476
1654231623.12589502 45.98676511 -1.61031703 -1.62854173 0.01917987 0.01005519 0.32525927 0.94537687
1654231623.63680291 47.57728662 -0.26309839 -1.75549362 0.02184895 0.01012029 0.37129643 0.92820211
1654231624.13267589 49.03839518 1.26037399 -1.83679636 0.02541809 0.01095414 0.41606056 0.90891558
1654231624.63813400 50.36930481 2.94642103 -1.94581257 0.02739521 0.01140433 0.45825497 0.88832529
1654231625.13338089 51.54048816 4.73388472 -2.04180679 0.02778892 0.01202147 0.49942606 0.86582727
1654231625.63681102 52.53040945 6.58400938 -2.08400620 0.03300129 0.01284044 0.53851096 0.84187409
1654231626.15237808 53.35023847 8.50088315 -2.11253256 0.03704837 0.01405205 0.57583630 0.81660426
1654231626.63734198 53.96082870 10.40651184 -2.14017901 0.03938349 0.01485513 0.60986681 0.79138533
1654231627.19684792 54.42891427 12.58601505 -2.19517160 0.04087438 0.01528770 0.64742490 0.76087881
1654231627.81434393 54.70871488 14.83160228 -2.20604729 0.04288674 0.01538202 0.67584475 0.73563441
1654231628.36514211 54.82353317 16.87833823 -2.21547172 0.04395038 0.01593151 0.69896993 0.71362146
1654231628.96867895 54.81006864 19.04481834 -2.17989706 0.04450246 0.01648490 0.72075608 0.69156232
1654231629.53638697 54.64759709 21.12540980 -2.16675811 0.04561945 0.01711829 0.74254440 0.66802218
1654231630.13725209 54.40854127 23.21141892 -2.14944133 0.04582017 0.01728145 0.75740639 0.65110477
1654231630.80609989 54.02847066 25.42995935 -2.14114890 0.04734111 0.01773181 0.76668766 0.64002690
1654231631.47792101 53.57439664 27.69390261 -2.12214865 0.04704603 0.01769960 0.77177358 0.63390767
1654231632.14356089 53.10215728 29.83881443 -2.12565341 0.04824089 0.01811555 0.77620347 0.62837315
1654231632.83075690 52.57113797 32.02939898 -2.11025356 0.04845153 0.01805522 0.77900788 0.62487853
1654231633.48444796 52.06292347 34.20858568 -2.09354728 0.04814460 0.01757962 0.78062375 0.62289615
1654231634.15511990 51.51936576 36.41647085 -2.02499773 0.04756488 0.01665913 0.78011610 0.62360158
1654231634.82062888 51.00219908 38.65181571 -2.00535214 0.04837306 0.01809401 0.78027722 0.62329777
1654231635.37973595 50.49506666 40.73317165 -2.04017962 0.05006034 0.01923618 0.78091158 0.62233515
1654231635.87110710 50.01066741 42.68593941 -1.99994368 0.04929410 0.01869293 0.78035201 0.62311428
1654231636.37335205 49.48864447 44.81097307 -1.94734196 0.04872915 0.01821624 0.77987609 0.62376833
1654231636.82073498 49.02144815 46.76112320 -1.91435890 0.04837040 0.01821866 0.77981850 0.62386817
1654231637.32295394 48.45610355 49.06355507 -1.89626111 0.04826367 0.01781136 0.77923265 0.62461977
1654231637.81857991 47.91211949 51.35967672 -1.88714229 0.04910925 0.01917571 0.77815039 0.62586145
1654231638.32019401 47.38539094 53.62848321 -1.89228780 0.04934910 0.01906422 0.77784846 0.62622120
1654231638.81571007 46.85906281 55.95220718 -1.86769004 0.04964476 0.02023359 0.77813144 0.62580945
1654231639.32144403 46.30000891 58.27804091 -1.84163571 0.04975188 0.02013023 0.77851486 0.62532722
1654231639.82158208 45.76221862 60.58955491 -1.80409370 0.04857773 0.01839760 0.77815842 0.62591629
1654231640.32128692 45.20345330 62.96055256 -1.78480603 0.04865902 0.01857409 0.77784827 0.62629017
1654231640.82041097 44.62331149 65.36011784 -1.77311501 0.04957317 0.01989774 0.77728861 0.62687239
1654231641.32073593 44.06841973 67.75696557 -1.76144311 0.04958061 0.01908800 0.77687314 0.62741178
1654231641.81675100 43.51621120 70.16166899 -1.72792389 0.04872438 0.01805962 0.77683895 0.62755161
1654231642.31892204 42.96364695 72.54463268 -1.68860854 0.04853617 0.01766465 0.77695413 0.62743484
1654231642.81788707 42.41300538 74.86836351 -1.65321806 0.04791792 0.01776530 0.77776720 0.62647143
1654231643.31652999 41.86745885 77.16013943 -1.63606195 0.04913492 0.01882627 0.78038361 0.62308327
1654231643.81785989 41.30291578 79.43332380 -1.61201971 0.04853003 0.01801395 0.78168324 0.62152365
1654231644.32967401 40.72458184 81.76775004 -1.58355356 0.04842315 0.01807351 0.78230359 0.62074925
1654231644.81505394 40.15568706 83.99722553 -1.56887047 0.04865792 0.01646892 0.78297708 0.61992586
1654231645.31354189 39.57984998 86.22127822 -1.54463259 0.04889108 0.01653232 0.78303591 0.61983152
1654231645.80916405 39.02360245 88.40981986 -1.50632970 0.04798417 0.01673089 0.78295971 0.61999330
1654231646.31086898 38.46365412 90.59439734 -1.48864831 0.04893128 0.01572604 0.78278872 0.62016146
1654231646.80997109 37.92137777 92.75808970 -1.48752154 0.05014816 0.01582781 0.78251076 0.62041240
