# timestamp tx ty tz qx qy qz qw
1645870652.26259804 -0.00388223 -0.00593518 -0.02042428 0.00027776 -0.00034890 0.00002168 0.99999990
1645870659.08984494 1.01186841 -0.05695971 -0.11545707 0.00088701 -0.00115575 0.00774582 0.99996894
1645870660.51657104 2.03469685 -0.01871756 -0.26330452 0.00022663 -0.00238622 -0.00645026 0.99997632
1645870661.75929189 3.03200002 -0.04846175 -0.34641582 0.00082706 -0.00293791 -0.02724980 0.99962400
1645870663.01913095 4.07463995 -0.10133644 -0.40330446 -0.00165752 -0.00376833 -0.03618314 0.99933670
1645870664.35288692 5.07375690 -0.20863329 -0.49509335 -0.00108678 -0.00386465 -0.02170339 0.99975639
1645870665.84859204 6.13803683 -0.21663590 -0.50010705 -0.00254730 -0.00259935 -0.03470092 0.99939112
1645870667.01699090 7.15712885 -0.26438583 -0.53803849 -0.00125100 -0.00331386 -0.03373772 0.99942444
1645870668.09378505 8.15299421 -0.33960090 -0.62195893 -0.00190927 -0.00465440 -0.05585178 0.99842640
1645870669.42485690 9.16442948 -0.41961908 -0.60145593 -0.00317116 -0.00340108 -0.04354061 0.99904084
1645870670.75791192 10.17304501 -0.49465543 -0.64584217 -0.00113033 -0.00428805 -0.05386407 0.99853843
1645870672.19024992 11.19842319 -0.58599444 -0.70559939 0.00059865 -0.00385385 -0.02503271 0.99967902
1645870673.53703690 12.26091759 -0.57173835 -0.81078491 0.00254581 -0.00516754 -0.00829473 0.99994901
1645870674.75707102 13.26846093 -0.59700858 -0.84722082 0.00234487 -0.00474284 -0.01693249 0.99984264
1645870676.02760506 14.31377664 -0.58077771 -0.92716831 0.00377217 -0.00526883 -0.02032204 0.99977249
1645870677.19120002 15.37490046 -0.59432131 -0.98243430 0.00342221 -0.00637567 -0.03166977 0.99947219
1645870678.42431092 16.38287999 -0.67865398 -1.03090950 0.00500589 -0.00629562 -0.02248254 0.99971488
1645870679.68894911 17.42819348 -0.78343091 -1.03282042 0.00795735 -0.00629675 -0.00361727 0.99994197
1645870680.92335200 18.45745380 -0.86136282 -1.03900476 0.00829964 -0.00580242 0.01151237 0.99988245
1645870682.19003010 19.51795222 -0.86188916 -1.05448133 0.00778510 -0.00586951 -0.00726367 0.99992609
1645870683.42369699 20.54417159 -0.87724662 -1.05065998 0.00689595 -0.00525543 -0.00910453 0.99992096
1645870684.59139991 21.57136647 -0.89600861 -1.07574576 0.00624485 -0.00574519 -0.03282459 0.99942511
1645870685.85884309 22.65360411 -0.93240251 -1.07857353 0.00525442 -0.00580006 0.00119023 0.99996867
1645870687.69217706 23.69979697 -0.97333828 -1.11959941 0.00727313 -0.00615089 -0.00263831 0.99995115
1645870689.02155089 24.70405839 -1.02002279 -1.10999317 0.00701009 -0.00542490 0.00249883 0.99995759
1645870690.19149899 25.74538643 -1.00877780 -1.13803030 0.00603357 -0.00480424 0.02026227 0.99976495
1645870691.35689402 26.81828052 -0.98609504 -1.20994269 0.00806294 -0.00584819 -0.00421111 0.99994153
1645870692.52592111 27.86335794 -0.98379987 -1.25568475 0.00708408 -0.00657769 -0.02514276 0.99963713
1645870693.68893909 28.88313363 -1.06405210 -1.30857465 0.00974379 -0.00651280 -0.00637908 0.99991097
1645870694.92141390 29.88673373 -1.15619478 -1.33928596 0.01122104 -0.00671087 -0.00356116 0.99990818
1645870696.08684301 30.92993704 -1.12950021 -1.38297066 0.01068699 -0.00618000 -0.00157058 0.99992256
1645870697.19979191 31.94328781 -1.15901139 -1.41470823 0.00853097 -0.00605115 -0.01707514 0.99979950
1645870698.35574794 33.01943335 -1.20713915 -1.41720807 0.00700014 -0.00620315 -0.02269476 0.99969869
1645870699.51898503 34.10727843 -1.25299213 -1.50358002 0.00621864 -0.00612657 -0.02281720 0.99970154
1645870700.58759189 35.10765845 -1.25623037 -1.58387308 0.00675548 -0.00596783 -0.01103780 0.99989845
1645870701.67944098 36.11276713 -1.24605102 -1.54951519 0.00802103 -0.00582526 -0.00178875 0.99994926
1645870703.35131311 37.11515813 -1.32844714 -1.60076390 0.00876123 -0.00637413 -0.01517817 0.99982610
1645870705.68011498 38.16330451 -1.35915469 -1.49607362 0.00753481 -0.00523727 -0.02271108 0.99969996
1645870707.08357596 39.16594449 -1.39595218 -1.50222756 0.00832436 -0.00568727 -0.01863179 0.99977558
1645870708.25022888 40.20169692 -1.36277979 -1.51854139 0.01158904 -0.00596198 -0.03086800 0.99943850
1645870709.51408410 41.20946723 -1.45548439 -1.59224820 0.01203763 -0.00586465 -0.02397050 0.99962299
1645870710.75070810 42.25960768 -1.48573921 -1.59024786 0.01369086 -0.00567138 -0.00696682 0.99986592
1645870711.91708302 43.27339119 -1.47142998 -1.60033042 0.01306841 -0.00523367 -0.01466747 0.99979332
1645870713.08252597 44.33079190 -1.50419971 -1.57152017 0.01272808 -0.00523604 -0.01335989 0.99981603
1645870714.34537697 45.39573742 -1.53213021 -1.66398557 0.01272567 -0.00558198 -0.02323057 0.99963355
1645870715.50886512 46.40261478 -1.56122648 -1.66337075 0.01170222 -0.00576233 -0.03380453 0.99934334
1645870716.58256292 47.44191940 -1.56211569 -1.68912763 0.01267706 -0.00579003 -0.01750965 0.99974956
1645870717.67894411 48.44722890 -1.55716760 -1.73092126 0.01271410 -0.00578622 -0.01608679 0.99977302
1645870718.67884302 49.48576305 -1.59609850 -1.76934263 0.01206599 -0.00656479 -0.02149361 0.99967462
1645870719.74902105 50.54985227 -1.60054009 -1.81007417 0.01132800 -0.00658335 -0.02217745 0.99966819
1645870720.83980703 51.62278648 -1.65986856 -1.86500503 0.01121570 -0.00683423 -0.03464332 0.99931344
1645870721.91298890 52.65008426 -1.73093510 -1.88566879 0.00966959 -0.00632127 -0.03969813 0.99914493
1645870723.00852704 53.65130678 -1.75731951 -1.89576192 0.01279438 -0.00613743 0.01032004 0.99984605
