# timestamp tx ty tz qx qy qz qw
1654232877.339120 -0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 1.000000
1654232882.375743 -0.014120 -0.025790 -0.001251 0.000418 -0.000183 0.000406 1.000000
1654232887.494933 0.027152 -0.044983 0.005786 -0.000762 -0.000045 0.000860 0.999999
1654232888.647099 0.578800 -0.020817 0.055036 -0.002134 0.000676 0.000785 0.999997
1654232889.199061 1.141038 -0.000311 0.043674 -0.002388 0.000900 0.000671 0.999997
1654232889.703149 1.718771 0.001315 0.021118 -0.002673 0.000988 0.000293 0.999996
1654232890.144466 2.253791 0.014912 0.008896 -0.002450 0.001211 -0.001102 0.999996
1654232890.534627 2.841363 0.010779 -0.014145 -0.003722 0.000849 -0.003908 0.999985
1654232890.868789 3.369657 0.018942 -0.023473 -0.004829 0.000847 -0.008131 0.999955
1654232891.203676 3.954924 0.023239 -0.043360 -0.005159 0.000774 -0.015883 0.999860
1654232891.538240 4.610028 0.018959 -0.075024 -0.006160 0.000232 -0.027683 0.999598
1654232891.810544 5.154546 0.005951 -0.077573 -0.007584 0.000301 -0.037099 0.999283
1654232892.033562 5.756014 -0.021814 -0.106133 -0.008038 -0.000027 -0.047287 0.998849
1654232892.306348 6.415772 -0.068403 -0.139008 -0.007838 -0.000160 -0.054582 0.998479
1654232892.532718 7.130179 -0.130354 -0.168071 -0.008273 -0.000331 -0.062272 0.998025
1654232892.800595 7.888312 -0.217847 -0.181396 -0.009206 -0.000361 -0.068823 0.997586
1654232892.978415 8.430635 -0.284984 -0.196662 -0.009709 -0.000380 -0.072659 0.997310
1654232893.131425 8.999070 -0.357702 -0.202174 -0.010907 -0.000359 -0.075945 0.997052
1654232893.298139 9.596739 -0.437093 -0.231617 -0.010985 -0.000513 -0.077091 0.996963
1654232893.464573 10.220535 -0.521139 -0.263296 -0.010647 -0.000462 -0.077346 0.996947
1654232893.633833 10.861993 -0.608985 -0.289105 -0.011043 -0.000482 -0.077370 0.996941
1654232893.794802 11.535501 -0.702808 -0.304071 -0.011727 -0.000359 -0.077389 0.996932
1654232893.962229 12.225878 -0.802605 -0.328703 -0.011870 -0.000270 -0.077147 0.996949
1654232894.129837 12.938230 -0.903747 -0.352764 -0.012081 -0.000168 -0.076147 0.997023
1654232894.301168 13.674274 -1.006395 -0.376449 -0.012061 -0.000036 -0.075269 0.997090
1654232894.467477 14.431491 -1.109624 -0.404989 -0.011993 0.000069 -0.073864 0.997196
1654232894.637076 15.198103 -1.202273 -0.435652 -0.012003 0.000208 -0.071939 0.997337
1654232894.800268 15.988797 -1.304217 -0.464018 -0.012073 0.000297 -0.069281 0.997524
1654232894.964022 16.801486 -1.409736 -0.506259 -0.011745 0.000100 -0.066310 0.997730
1654232895.127556 17.627142 -1.504678 -0.544007 -0.011747 0.000254 -0.064232 0.997866
1654232895.295564 18.478605 -1.598988 -0.580163 -0.011568 0.000328 -0.061073 0.998066
1654232895.460368 19.344204 -1.691676 -0.614159 -0.011541 0.000571 -0.057723 0.998266
1654232895.627696 20.248357 -1.779525 -0.653687 -0.011423 0.000658 -0.054412 0.998453
1654232895.793286 21.138908 -1.865071 -0.693836 -0.011155 0.000734 -0.051124 0.998630
1654232895.960492 22.079597 -1.944371 -0.733854 -0.011002 0.000912 -0.047548 0.998808
1654232896.123912 23.008248 -2.012600 -0.777521 -0.010691 0.001057 -0.044488 0.998952
1654232896.291748 23.973963 -2.082056 -0.820963 -0.010422 0.001170 -0.040881 0.999109
1654232896.459504 24.947007 -2.142588 -0.863983 -0.010234 0.001256 -0.037831 0.999231
1654232896.624621 25.927944 -2.200133 -0.910952 -0.010130 0.001268 -0.034641 0.999348
