# timestamp tx ty tz qx qy qz qw
1645870652.029394 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 1.000000
1645870657.031396 0.089434 0.038424 -0.038027 0.004091 0.000621 -0.012150 0.999918
1645870658.186701 0.570710 0.030546 -0.179807 0.009460 0.000131 -0.012420 0.999878
1645870659.256466 1.097202 0.026847 -0.193590 0.011303 0.000575 0.007869 0.999905
1645870660.019415 1.644857 0.056735 -0.214475 0.011076 0.000680 0.002131 0.999936
1645870660.684527 2.147672 0.052768 -0.239080 0.011739 0.000570 -0.009811 0.999883
1645870661.354028 2.688709 0.058793 -0.259748 0.010924 0.000332 -0.021233 0.999715
1645870662.019098 3.235594 0.046810 -0.265127 0.009609 0.000765 -0.030973 0.999474
1645870662.686364 3.775252 0.027989 -0.284887 0.009260 0.000963 -0.035386 0.999330
1645870663.356042 4.306309 0.002107 -0.285336 0.007639 0.001723 -0.036578 0.999300
1645870664.088761 4.875897 -0.025800 -0.317535 0.008796 0.001806 -0.028136 0.999564
1645870664.922608 5.430617 -0.044270 -0.343651 0.009115 0.001870 -0.021036 0.999735
1645870665.585915 5.941704 -0.055983 -0.367488 0.007822 0.001791 -0.037520 0.999264
1645870666.256445 6.499112 -0.092443 -0.393443 0.008276 0.001968 -0.027972 0.999572
1645870666.850555 7.023917 -0.102318 -0.423850 0.008370 0.001707 -0.032644 0.999431
1645870667.422927 7.603496 -0.117250 -0.433199 0.007388 0.002307 -0.044356 0.998986
1645870668.027874 8.168019 -0.147222 -0.461295 0.007529 0.002391 -0.055904 0.998405
1645870668.756755 8.714541 -0.214981 -0.535670 0.012908 0.001932 -0.053378 0.998489
1645870669.424857 9.224625 -0.242756 -0.559894 0.011724 0.001458 -0.046718 0.998838
1645870670.090804 9.756180 -0.280419 -0.587891 0.011449 0.001367 -0.051685 0.998597
1645870670.856542 10.316972 -0.335509 -0.636014 0.012652 0.000545 -0.056514 0.998321
1645870671.590366 10.859923 -0.384514 -0.646994 0.012359 0.001284 -0.041475 0.999062
1645870672.355496 11.408054 -0.420045 -0.673000 0.013286 0.001414 -0.023562 0.999633
1645870673.024737 11.934748 -0.434889 -0.700713 0.014207 0.001607 -0.003260 0.999892
1645870673.692251 12.479670 -0.420707 -0.725454 0.013490 0.001613 -0.015538 0.999787
1645870674.353627 13.016745 -0.429327 -0.761309 0.013113 0.000997 -0.020866 0.999696
1645870675.029374 13.550526 -0.448361 -0.796525 0.013841 0.000622 -0.018770 0.999728
1645870675.691544 14.103915 -0.428827 -0.791651 0.011121 0.001440 -0.023863 0.999652
1645870676.256935 14.619322 -0.440620 -0.819559 0.011087 0.001313 -0.026458 0.999588
1645870676.859289 15.138265 -0.446269 -0.794988 0.008972 0.002817 -0.036759 0.999280
1645870677.424861 15.643724 -0.471287 -0.825990 0.008778 0.002506 -0.032718 0.999423
1645870678.090474 16.176505 -0.498685 -0.850772 0.008734 0.002511 -0.028936 0.999540
1645870678.758270 16.711166 -0.523336 -0.891920 0.012674 0.002846 -0.023922 0.999629
1645870679.424025 17.267944 -0.542225 -0.932467 0.014323 0.002423 -0.011459 0.999829
1645870680.090711 17.829825 -0.533096 -0.967907 0.015971 0.001969 -0.004766 0.999859
1645870680.757127 18.375610 -0.551991 -1.008903 0.016299 0.001740 0.004493 0.999856
1645870681.423184 18.948737 -0.535960 -1.024029 0.014681 0.002407 -0.001670 0.999888
1645870682.036627 19.455128 -0.535176 -1.051069 0.013652 0.002208 -0.013676 0.999811
1645870682.691298 20.007116 -0.536794 -1.070958 0.012986 0.002331 -0.015211 0.999797
1645870683.358272 20.557744 -0.530854 -1.088075 0.012331 0.002561 -0.017094 0.999775
1645870683.922372 21.058283 -0.534635 -1.109883 0.011923 0.002597 -0.022234 0.999678
1645870684.524286 21.573929 -0.548919 -1.129827 0.011042 0.002638 -0.037976 0.999214
1645870685.206469 22.134582 -0.586349 -1.159768 0.011150 0.002565 -0.040861 0.999099
1645870685.761841 22.650142 -0.634803 -1.184323 0.012513 0.002873 -0.010724 0.999860
1645870686.589330 23.173347 -0.631143 -1.202570 0.011342 0.002544 -0.049129 0.998725
1645870687.692177 23.703574 -0.679808 -1.158984 0.011760 0.005703 -0.010568 0.999859
1645870688.420333 24.236651 -0.688190 -1.191144 0.011557 0.005748 -0.012903 0.999833
1645870689.087982 24.786372 -0.686514 -1.217846 0.011122 0.006139 -0.009548 0.999874
1645870689.755001 25.350253 -0.690100 -1.251877 0.011973 0.006185 -0.000899 0.999909
1645870690.356470 25.856428 -0.681250 -1.285599 0.012922 0.006133 0.012649 0.999818
